product_no,category,name,price,add_date,views,more_information_image,represent_image
4361,78,챔피온 F233 탁구 초경량 경기용 고정식 펜스 75*233cm,70000,2021-03-28,351,https://redsports.co.kr//web/product/manual/S-F233-1.jpg,https://redsports.co.kr/web/product/big/202103/ab4d85bf7bd73477a3692b026aee12df.jpg
4360,78,챔피온 F175 초경량 펜스 철제 경기용 넘어짐방지 75*175cm,85000,2022-12-17,500,https://redsports.co.kr//web/product/manual/S-F175-2.jpg,https://redsports.co.kr/web/product/big/202103/d0a056ee00821456e675da037b9840ce.jpg
6087,78,챔피온 F233H 이동식펜스 150cm 탁구 초경량 알루미늄소재,175000,2021-06-06,916,https://redsports.co.kr//web/product/manual/S-F233H-1.jpg,https://redsports.co.kr/web/product/big/202103/30a8c1fe8571ab03c3c9438df1a12acd.png
4367,78,챔피온 탁구대 공막이,30000,2023-02-06,990,https://redsports.co.kr//web/product/manual/S-BB.jpg,https://redsports.co.kr/web/product/big/201708/4367_shop1_331401.jpg
4312,78,챔피온 탁구대 테이블 보호커버,35000,2021-06-02,715,https://redsports.co.kr//web/product/manual/S-TTC-1.jpg,https://redsports.co.kr/web/product/big/20200317/423aa931036616c952250f65129c9e29.jpg
6190,78,엑시옴 i7 트윈헤드 탁구 연습용 로봇,1650000,2022-12-21,870,https://redsports.co.kr//web/product/manual/S-I7.jpg,https://redsports.co.kr/web/product/big/202109/d81c4cbc52f53811413c202d5d2852bc.jpg
6190,211,엑시옴 i7 트윈헤드 탁구 연습용 로봇,1650000,2021-06-23,707,https://redsports.co.kr//web/product/manual/S-I7.jpg,https://redsports.co.kr/web/product/big/202109/d81c4cbc52f53811413c202d5d2852bc.jpg
5895,211,엑시옴 i5 트윈헤드 탁구 연습용 로봇,1450000,2022-04-05,37,https://redsports.co.kr//web/product/manual/S-i5-2.jpg,https://redsports.co.kr/web/product/big/202103/ab13bee73084bac31340a86bcdfbfc6b.jpg
5922,211,엑시옴 i3 싱글헤드 탁구 연습용 로봇,1250000,2021-10-07,126,https://redsports.co.kr//web/product/manual/S-i3-1.jpg,https://redsports.co.kr/web/product/big/202103/12b99899b636b480b932a1eda3831e17.png
5917,211,후이팡 S7-PRO 탁구 연습용 로봇,639000,2023-03-07,668,https://redsports.co.kr//web/product/manual/S-S7-PRO.jpg,https://redsports.co.kr/web/product/big/201909/4274c2d83d3806967cbc606f30ba32ca.jpg
5716,211,후이팡 JT-A 탁구 연습용 로봇,445000,2022-06-27,118,https://redsports.co.kr//web/product/manual/S-JT-A.jpg,https://redsports.co.kr/web/product/big/20200609/6407ca2cf63a0ddf953993d4517e30e1.jpg
6028,211,후이팡 H600-PRO 탁구 연습용 로봇,535000,2023-01-05,685,https://redsports.co.kr//web/product/manual/S-H600.jpg,https://redsports.co.kr/web/product/big/20200609/c3272c23fe6692f086ea30b688beb50e.jpg
6078,211,후이팡 S8-PRO 탁구 연습용 로봇,595000,2023-03-12,784,https://redsports.co.kr//web/product/manual/S-S8-PRO.jpg,https://redsports.co.kr/web/product/big/202011/cfacbc1d19818ae84f646d1ab07b72b4.jpg
5678,211,아이퐁 V200 탁구 연습용 로봇,250000,2023-01-25,756,https://redsports.co.kr//web/product/manual/S-V200.jpg,https://redsports.co.kr/web/product/big/201612/5678_shop1_911660.jpg
5676,211,핑퐁 프리미엄 탁구 연습용 로봇,200000,2022-07-21,152,https://redsports.co.kr//web/product/manual/S-pingpong-premium.jpg,https://redsports.co.kr/web/product/big/201612/5676_shop1_820023.jpg
4364,211,챔피온 프로메이커2 탁구 연습용 로봇,1490000,2021-08-28,794,https://redsports.co.kr//web/product/manual/S-PROMAKER2.jpg,https://redsports.co.kr/web/product/big/PROMAKET2.jpg
6266,206,엑시옴 조대성 TMX 프로 쉐이크 블레이드 목판,212000,2021-09-12,926,https://redsports.co.kr//web/product/manual/S-TMX-PRO4.jpg,https://redsports.co.kr/web/product/big/202305/4b2e67ff88d39a25121930db75656775.jpg
6256,206,엑시옴 안재현 TMX 쉐이크 블레이드 목판,142000,2022-04-02,470,https://redsports.co.kr//web/product/manual/S-TMX1.jpg,https://redsports.co.kr/web/product/big/202305/f1c028bab0db567f27e8cad94990ce32.jpeg
6257,206,엑시옴 안재현 TMXi 프로 쉐이크 블레이드 목판,220000,2023-05-03,328,https://redsports.co.kr//web/product/manual/S-TMXi-PRO.jpg,https://redsports.co.kr/web/product/big/202305/6aeee91f38dd08b2e19c3c9ffc2dd44c.jpeg
6258,206,엑시옴 안재현 TMXi 쉐이크 블레이드 목판,159000,2022-07-31,730,https://redsports.co.kr//web/product/manual/S-TMXi.jpg,https://redsports.co.kr/web/product/big/202305/3f2b46833f8ff8f4fd227b77485e90b1.jpeg
6259,206,엑시옴 아이스크림 AZX 쉐이크 블레이드 목판,135000,2021-12-18,207,https://redsports.co.kr//web/product/manual/S-AZX1.jpg,https://redsports.co.kr/web/product/big/202305/68b9a323a5bd4cc3c7ee422ab4fb004f.jpeg
6260,206,엑시옴 휴고 HAL 쉐이크 블레이드 목판,139000,2021-11-13,827,https://redsports.co.kr//web/product/manual/S-HAL.jpg,https://redsports.co.kr/web/product/big/202305/d29dc0648d8ad1d40a66c49142931696.jpeg
6261,206,엑시옴 휴고 SAL 쉐이크 블레이드 목판,125000,2023-03-19,352,https://redsports.co.kr//web/product/manual/S-SAL.jpg,https://redsports.co.kr/web/product/big/202305/83f91b1e95ee9effb7ff9d0a967f34eb.jpeg
6262,206,엑시옴 아이스크림 AZX 엑실리움 쉐이크 블레이드 목판,135000,2022-01-21,245,https://redsports.co.kr//web/product/manual/S-ICE-AZX.jpg,https://redsports.co.kr/web/product/big/202305/6431c44f1664c7728081b3deaff46e53.jpeg
6263,206,엑시옴 아이스크림 AZXi 엑실리움 쉐이크 블레이드 목판,159500,2021-08-15,923,https://redsports.co.kr//web/product/manual/S-ICE-AZXi.jpg,https://redsports.co.kr/web/product/big/202305/d2621db94edd4e5380135bbcf86a1dd7.jpeg
6264,206,엑시옴 아이스크림 프로 AZX 엑실리움 쉐이크 블레이드 목판,189000,2022-12-19,322,https://redsports.co.kr//web/product/manual/S-ICE-PROAZX.jpg,https://redsports.co.kr/web/product/big/202305/cc8509087134cb62801db58a8dbb6824.jpeg
6265,206,엑시옴 아이스크림 프로 AZXi 엑실리움 쉐이크 블레이드 목판,198000,2022-01-22,819,https://redsports.co.kr//web/product/manual/S-ICE-PROAZXi.jpg,https://redsports.co.kr/web/product/big/202305/0a9423728022e3dab7befcf9a1904758.jpeg
5630,206,엑시옴 엠파워 펜홀더 목판 상급 수프러스 목재,30000,2021-02-25,459,https://redsports.co.kr//web/product/manual/S-MPOWER-1.jpg,https://redsports.co.kr/web/product/big/202109/0e6886823780b416d7015c25fcebd34f.jpg
5627,206,엑시옴 히비오 프로 펜홀더 목판,279000,2022-11-30,92,https://redsports.co.kr//web/product/manual/S-HIBIO-PRO-1.jpg,https://redsports.co.kr/web/product/big/202109/218779b6e3817a86c9b3f1ce32928901.jpg
5628,206,엑시옴 히비오 펜홀더 목판,139000,2022-11-26,30,https://redsports.co.kr//web/product/manual/S-HIBIO-1.jpg,https://redsports.co.kr/web/product/big/202109/c2664053c6fed08f8b51ba50aa674a97.jpg
5644,206,엑시옴 히비오 투어 펜홀더 목판 최상등급 키소히노키 블레이드,490000,2023-03-26,413,https://redsports.co.kr//web/product/manual/S-HIBIO-TOUR-1.jpg,https://redsports.co.kr/web/product/big/202109/e8a022f90510bd0799f68473458b64d8.jpg
5634,206,엑시옴 파워히노키승 펜홀더 목판 탁구라켓 XIOM,69500,2021-05-16,493,https://redsports.co.kr//web/product/manual/S-POWERHINOKI-1.jpg,https://redsports.co.kr/web/product/big/202109/e9cf726589e2a6e5010e89b789998508.jpg
6185,206,엑시옴 카타나 플래니넘 펜홀더 목판 블레이드 히노키,164000,2021-08-30,763,https://redsports.co.kr//web/product/manual/S-KATANA-P.jpg,https://redsports.co.kr/web/product/big/202109/bc41f6f17e7b8ba04072d64ca18cd815.jpg
6186,206,엑시옴 카타나 골드 펜홀더 목판 블레이드,132000,2021-03-16,122,https://redsports.co.kr//web/product/manual/S-KATANA-G.jpg,https://redsports.co.kr/web/product/big/202109/b903fbfe45a4bc57b0f5f081fec552b6.jpg
6187,206,엑시옴 카타나 실버 펜홀더 목판 블레이드,98000,2022-02-08,842,https://redsports.co.kr//web/product/manual/S-KATANA-S.jpg,https://redsports.co.kr/web/product/big/202109/64f038057f6fe67bde519667e26127c2.jpg
5879,206,엑시옴 제타 오펜시브 쉐이크 목판,28000,2022-05-15,214,https://redsports.co.kr//web/product/manual/S-ZETA.jpg,https://redsports.co.kr/web/product/big/202109/ae571e6956790e6284a292ce37b682a4.jpg
5620,206,엑시옴 올라운드S 쉐이크 목판 5겹합판,46000,2021-06-29,864,https://redsports.co.kr//web/product/manual/S-ALLROUND-1.jpg,https://redsports.co.kr/web/product/big/202109/c03263711da7518b927fcd582152ee1b.jpg
