product_no,index,stock,price_change,color,size,other_option
6177,1,19,64000,레드,2XS(80),
6177,2,2,64000,레드,XS(85),
6177,3,5,64000,레드,S(90),
6177,4,20,64000,레드,M(95),
6177,5,3,64000,레드,L(100),
6177,6,11,64000,레드,XL(105),
6177,7,14,64000,레드,2XL(110),
6177,8,16,64000,레드,3XL(115),
6177,9,13,64000,옐로우,3XS(75),
6177,10,9,64000,옐로우,2XS(80),
6177,11,15,64000,옐로우,XS(85),
6177,12,11,64000,옐로우,S(90),
6177,13,1,64000,옐로우,M(95),
6177,14,16,64000,옐로우,L(100),
6177,15,17,64000,옐로우,XL(105),
6177,16,11,64000,옐로우,2XL(110),
6177,17,4,64000,옐로우,3XL(115),
6176,0,10,69000,네이비,3XS(75),
6176,1,8,69000,네이비,2XS(80),
6176,2,8,69000,네이비,XS(85),
6176,3,15,69000,네이비,S(90),
6176,4,15,69000,네이비,M(95),
6176,5,5,69000,네이비,L(100),
6176,6,12,69000,네이비,XL(105),
6176,7,8,69000,네이비,2XL(110),
6176,8,5,69000,네이비,3XL(115),
6176,9,8,69000,베이지,3XS(75),
6176,10,6,69000,베이지,2XS(80),
6176,11,13,69000,베이지,XS(85),
6176,12,8,69000,베이지,S(90),
6176,13,12,69000,베이지,M(95),
6176,14,6,69000,베이지,L(100),
6176,15,14,69000,베이지,XL(105),
6176,16,15,69000,베이지,2XL(110),
6176,17,8,69000,베이지,3XL(115),
6175,0,9,49000,네이비,3XS(75),
6175,1,8,49000,네이비,2XS(80),
6175,2,20,49000,네이비,XS(85),
6175,3,16,49000,네이비,S(90),
6175,4,17,49000,네이비,M(95),
6175,5,9,49000,네이비,L(100),
6175,6,2,49000,네이비,XL(105),
6175,7,14,49000,네이비,2XL(110),
6175,8,5,49000,네이비,3XL(115),
6175,9,19,49000,블랙,3XS(75),
6175,10,11,49000,블랙,2XS(80),
6175,11,9,49000,블랙,XS(85),
6175,12,13,49000,블랙,S(90),
6175,13,13,49000,블랙,M(95),
6175,14,10,49000,블랙,L(100),
6175,15,1,49000,블랙,XL(105),
6175,16,10,49000,블랙,2XL(110),
6175,17,3,49000,블랙,3XL(115),
6174,0,0,69000,핑크,3XS(75),
6174,1,3,69000,핑크,2XS(80),
6174,2,6,69000,핑크,XS(85),
6174,3,0,69000,핑크,S(90),
6174,4,0,69000,핑크,M(95),
6174,5,0,69000,핑크,L(100),
6174,6,0,69000,핑크,XL(105),
6174,7,0,69000,핑크,2XL(110),
6174,8,0,69000,핑크,3XL(115),
6174,9,0,69000,민트,3XS(75),
6174,10,4,69000,민트,2XS(80),
6174,11,20,69000,민트,XS(85),
6174,12,10,69000,민트,S(90),
6174,13,17,69000,민트,M(95),
6174,14,0,69000,민트,L(100),
6174,15,0,69000,민트,XL(105),
6174,16,0,69000,민트,2XL(110),
6174,17,0,69000,민트,3XL(115),
6173,0,9,49000,라임그린,3XS(75),
6173,1,1,49000,라임그린,2XS(80),
6173,2,12,49000,라임그린,XS(85),
6173,3,4,49000,라임그린,S(90),
6173,4,11,49000,라임그린,M(95),
6173,5,11,49000,라임그린,L(100),
6173,6,17,49000,라임그린,XL(105),
6173,7,17,49000,라임그린,2XL(110),
6173,8,13,49000,라임그린,3XL(115),
6173,9,20,49000,레드,3XS(75),
6173,10,20,49000,레드,2XS(80),
6173,11,16,49000,레드,XS(85),
6173,12,17,49000,레드,S(90),
6173,13,19,49000,레드,M(95),
6173,14,4,49000,레드,L(100),
6173,15,19,49000,레드,XL(105),
6173,16,4,49000,레드,2XL(110),
6173,17,2,49000,레드,3XL(115),
6172,0,18,49000,네이비핑크,3XS(75),
6172,1,13,49000,네이비핑크,2XS(80),
6172,2,7,49000,네이비핑크,XS(85),
6172,3,5,49000,네이비핑크,S(90),
6172,4,19,49000,네이비핑크,M(95),
6172,5,15,49000,네이비핑크,L(100),
6172,6,6,49000,네이비핑크,XL(105),
6172,7,15,49000,네이비핑크,2XL(110),
6172,8,17,49000,네이비핑크,3XL(115),
6172,9,13,49000,퍼플,3XS(75),
6172,10,7,49000,퍼플,2XS(80),
6172,11,16,49000,퍼플,XS(85),
6172,12,6,49000,퍼플,S(90),
6172,13,14,49000,퍼플,M(95),
6172,14,20,49000,퍼플,L(100),
